actorId,name,birthYear
nm0931227,Malinda Williams,1970
nm0939038,Don Wong,1945
nm0943307,Trudel Wulle,1925
nm0943807,William Wylie,1950
nm0944464,Yu Xia,1978
nm0945094,Elena Yakovleva,1961
nm0945299,Isao Yamagata,1915
nm0945377,Kazuhiro Yamaji,1954
nm0950475,Chi-Wai Yu,
nm0997434,Hossein Maloomi,
nm10024096,Aiden Hartman,
nm10030077,Yang Zhou,
nm10057577,Jie Zhang,
nm10063318,Jesse Marks,
nm10066246,Ankeet Khadka,
nm10099696,Vishal Dahiya,
nm10131701,Axel Contreras,
nm1015599,Tuncer Sevi,1942
nm10171971,Fukami Hiroshi,
nm10181097,Ron Macapagal,
nm10183222,Amine Farhat,
nm10187204,Ari Irham,
nm10192522,Ty Herting,
nm10208715,Puja Astawa,
nm1021083,Neslihan Acar,1969
nm10217092,Mia Tucker,
nm10264207,Jose Cabral,
nm10267128,Ann Artist,
nm10267154,Em Arrick,
nm10271046,Ashwani,
nm1027715,Yûko Akane,
nm10277974,Timothy Gettle,
nm10278266,Claudia Bermudez,
nm10282200,Emily Cohen,
