actorId,pagerank,degree,weightedDegree,community
nm0431520,0.908091,9,9,11
nm6343883,1.0,9,9,205
nm6796131,1.0,9,9,205
nm9015942,1.0,9,9,205
nm5291007,1.0,9,9,205
nm10093507,0.854415,9,9,108
nm1096466,1.568184,17,18,1266
nm4942285,0.854415,9,9,108
nm4951437,2.305822,26,27,1266
nm0322479,0.919704,9,9,180
nm3226240,1.692972,18,18,180
nm13609822,0.949921,9,9,206
nm17779180,0.949921,9,9,206
nm0046424,0.949921,9,9,206
nm10341145,1.0,9,9,207
nm4474914,1.0,9,9,207
nm10299587,1.0,9,9,109
nm8977785,1.0,9,9,109
nm2103554,1.0,9,9,209
nm5996483,1.0,9,9,209
nm3464090,1.0,9,9,209
nm5995222,1.0,9,9,209
nm6235401,1.726082,18,18,180
nm1253936,0.947369,9,9,180
nm0047624,0.947369,9,9,180
nm3741323,0.915769,9,9,180
nm10379178,0.924696,9,9,110
nm4163711,0.924696,9,9,110
nm0406732,0.817535,9,9,110
nm4112050,0.924696,9,9,110
nm6268729,0.924696,9,9,110
nm6711994,0.924696,9,9,110
nm8535650,0.817535,9,9,110
nm0269800,0.920637,9,9,124
nm0226701,0.948678,9,9,210
nm4890743,0.921881,9,9,210
nm3113678,0.948678,9,9,210
nm0048081,1.733503,18,18,210
nm0193160,1.0,9,9,100
nm2961248,1.0,9,9,212
nm0399251,1.0,9,9,212
nm1298177,1.0,9,9,213
nm3980859,1.0,9,9,213
nm11240803,0.956853,9,9,214
nm15016167,0.956853,9,9,214
nm10400615,0.956853,9,9,214
nm7585473,0.956853,9,9,214
nm11713597,1.0,9,9,215
nm2395082,1.0,9,9,215
nm0121225,1.0,9,9,215
nm0543547,1.0,9,9,215
nm0457225,0.73152,9,9,110
nm0040910,0.747494,9,9,110
nm0370579,0.886925,9,9,110
nm10280884,0.404625,9,9,217
nm2115648,0.383656,9,9,217
nm2362683,0.405386,9,9,217
nm5181516,0.940215,15,27,217
nm5181684,1.656081,27,54,217
nm5729867,1.872406,30,54,217
nm0848426,0.792779,10,18,217
nm10280981,0.856238,10,27,217
nm10295767,0.613268,12,18,217
nm10269481,0.420269,9,9,217
nm2153938,3.642489,46,117,217
nm2387401,1.129666,17,36,217
nm2388044,0.916287,15,27,217
nm0605299,4.0967,53,135,217
nm2385002,0.430145,9,9,217
nm0849545,0.949921,9,9,218
nm6478947,0.949921,9,9,218
nm3225022,0.949921,9,9,218
nm1475385,2.35562,35,36,527
nm9230974,0.943228,9,9,103
nm0623325,1.704828,18,18,103
nm0052455,0.943228,9,9,103
nm0882577,2.07257,27,27,110
nm0297978,0.803509,9,9,110
nm4478721,0.755028,9,9,482
nm0156928,0.67089,9,9,110
nm0370577,1.418984,18,18,482
nm0654837,0.803509,9,9,110
nm1333687,1.559827,18,18,11
nm3211304,0.846274,9,9,11
nm10487771,1.0,9,9,221
nm1178214,1.0,9,9,223
nm4443845,1.0,9,9,223
nm7497829,1.0,9,9,223
nm3696353,1.0,9,9,224
nm1832279,0.948678,9,9,226
nm1045112,0.948678,9,9,226
nm2875236,0.948678,9,9,226
