actorId,name,x,y,community,degree
nm0590906,Hiroshi Minami,0.0125,-0.0312,615,19
nm0387363,Peter Ho,0.0024,-0.0049,23,18
nm0788340,Molly Shannon,0.0144,0.0272,3,18
nm0000410,Stephen Fry,-0.0004,-0.0119,1,18
nm8272878,Sandra Drzymalska,-0.0004,-0.0119,1,18
nm1396004,Serena Rossi,0.1055,-0.0018,30,18
nm0005216,Janet McTeer,-0.001,-0.0105,2,18
nm1850901,Phillip Andre Botello,0.0064,-0.0163,44,18
nm3147751,LaKeith Stanfield,0.0016,0.0311,39,18
nm0000657,David Strathairn,-0.0107,-0.0347,3,18
nm3690667,David B. Meadows,-0.0052,-0.0177,3,18
nm0000680,Casper Van Dien,-0.0138,0.002,11,18
nm0000706,Michelle Yeoh,-0.0181,-0.0063,3,18
nm1574854,G.V. Prakash Kumar,-0.0128,0.0122,11,18
nm6913129,Nessa Noel,-0.0002,-0.0006,1174,18
nm5212722,Rathna Sumanapala,-0.0078,0.0084,113,18
nm5613974,Ruth Emeterio,-0.0106,-0.0138,460,18
nm2059117,Robert Kazinsky,-0.0184,-0.0072,3,18
nm2111833,Megan Henry,-0.019,-0.0097,3,18
nm0241039,Claude Duhamel,0.0089,0.0044,4,18
nm5896355,Anya Taylor-Joy,-0.0002,-0.011,2,18
nm0267656,John Farley,0.0155,0.0277,3,18
nm0721216,Alisa Reyes,0.0018,-0.0086,3,18
nm0001108,Robert Davi,0.0182,0.0315,18,18
nm0000729,Casey Affleck,0.0069,0.0103,6,18
nm0424848,Dakota Johnson,0.0141,0.0084,6,18
nm0001595,Michael Paré,-0.0143,-0.0095,50,18
nm0621348,Tony Nardi,-0.0142,-0.0095,50,18
