actorId,triangles,clusteringCoefficient,kshell,closeness,betweenness
nm0103976,108,0.307692,3,0.134904,0.000652
nm0105013,36,1.0,8,0.0,
nm0105937,36,1.0,9,0.0,
nm0105984,36,1.0,9,0.0,
nm0106169,36,1.0,9,0.0,
nm0107101,36,1.0,9,0.0,
nm0107165,36,1.0,9,0.0,
nm0107285,36,1.0,9,0.0,
nm0107531,36,1.0,8,0.073001,
nm0107573,36,1.0,6,0.0,
nm0107792,36,1.0,9,0.0,
nm0108287,36,1.0,8,0.066386,
nm0108431,36,1.0,9,0.0,
nm0108509,36,1.0,9,0.0,
nm0108637,36,1.0,8,0.0,
nm0108820,36,1.0,9,0.0,
nm0109140,36,1.0,7,0.0,
nm0109878,36,1.0,9,0.0,
nm0109944,36,1.0,9,0.0,
nm0110336,36,1.0,6,0.0,
nm0111002,36,1.0,9,0.068478,
nm0111013,36,1.0,8,0.066596,
nm0111498,36,1.0,8,0.0,
nm0112001,36,1.0,9,0.095455,
nm0112043,36,1.0,7,0.0,
nm0112811,36,1.0,8,0.0,
nm0112932,36,1.0,8,0.087744,
nm0113508,36,1.0,8,0.0,
nm0114216,36,1.0,9,0.0,
nm0115161,36,1.0,9,0.0,
